name	nvalues	values
x0_R1	7	0	1e-9	1e-7	1e-5	1e-3	1e-1	0.9
x0_R2	7	0	1e-9	1e-7	1e-5	1e-3	1e-1	0.9
g0	7	0.001	0.0026	0.007	0.0184	0.0487	0.1287	0.34
Sa(S,D1)/g0	7	5.6e-4	0.0054	0.0517	0.4964	4.7683	45.8045	440.0000
Sa(S,D2)/Sa(S,D1)	7	0.0004	0.0015	0.0054	0.0200	0.0737	0.2714	1.0000
Sa(R1,D1)/Sa(S,D1)	7	0	1e-5	9.5635e-5	9.1461e-4	0.0087	0.0837	0.8
Sa(R2,D2)/Sa(S,D2)	7	0	1e-5	9.5635e-5	9.1461e-4	0.0087	0.0837	0.8
T(R1,S)	7	1e-11	2.154e-10	4.642e-9	1e-7	2.154e-6	4.642e-5	1e-3
T(R2,S)	7	1e-11	2.154e-10	4.642e-9	1e-7	2.154e-6	4.642e-5	1e-3
